release,commit,patch_name,priority,comments
v6.17,05fb0e666495,new helper: set_default_d_op(),,
v6.16,93310053663b,smb: client: disable path remapping with POSIX extensions,,
v6.16,8e9d6efccdd7,cifs: update internal version number,,
v6.16,42ca547b13a2,cifs: do not disable interface polling on failure,,
v6.16,b5e3e6e28cf3,cifs: serialize other channels when query server interfaces is pending,,
v6.16,66d590b828b1,cifs: deal with the channel loading lag while picking channels,,
v6.16,cc55f65dd352,smb: client: make use of common smbdirect_socket_parameters,,
v6.16,dce8047f4725,smb: smbdirect: introduce smbdirect_socket_parameters,,
v6.16,c3011b9a7dea,smb: client: make use of common smbdirect_socket,,
v6.16,22234e37d7e9,smb: smbdirect: add smbdirect_socket.h,,
v6.16,21604ed60864,smb: client: make use of common smbdirect.h,,
v6.16,7e136a718633,smb: smbdirect: add smbdirect.h with public structures,,
v6.16,64946d5be665,smb: client: make use of common smbdirect_pdu.h,,
v6.16,00fab6cf323f,smb: smbdirect: add smbdirect_pdu.h with protocol definitions,,
v6.16,8a5ebd2be99a,cifs: update the lock ordering comments with new mutex,,
v6.16,b4f60a053a25,cifs: dns resolution is needed only for primary channel,,
v6.16,c1846893991f,cifs: update dstaddr whenever channel iface is updated,,
v6.16,1f396b9bfe39,cifs: reset connections for all channels when reconnect requested,,
v6.16,037e1bae588e,smb: client: use ParentLeaseKey in cifs_do_create,,
v6.16,0f220d30c6fd,smb: client: use ParentLeaseKey in open_cached_dir,,
v6.16,51b78ffb8036,smb: client: add ParentLeaseKey support,,
v6.16,a3e771afbb3b,cifs: Fix cifs_query_path_info() for Windows NT servers,,
v6.16,56e84c64fc25,cifs: Fix validation of SMB1 query reparse point response,,
v6.16,89381c72d520,cifs: Correctly set SMB1 SessionKey field in Session Setup Request,,
v6.16,6510ef4230b6,cifs: Fix encoding of SMB1 Session Setup NTLMSSP Request in non-UNICODE mode,,
v6.16,f1e7a277a173,smb: client: add NULL check in automount_fullpath,,
v6.16,55423e9c534d,smb: client: Remove an unused function and variable,,
v6.16,db26d62d79e4,netfs: Fix undifferentiation of DIO reads from unbuffered reads,,
v6.16,20d72b00ca81,netfs: Fix the request's work item to not require a ref,,
v6.15,e48f9d849bfd,smb: client: Reset all search buffer pointers when releasing buffer,High,
v6.15,a7a8fe56e932,smb: client: Fix use-after-free in cifs_fill_dirent,High,
v6.15,3965c23773e8,smb: client: fix zero rsize error messages,High,
v6.15,1fe4a44b7fa3,smb: client: fix memory leak during error handling for POSIX mkdir,High,
v6.15,3ca02e63edcc,smb: client: Avoid race in open_cached_dir with lease breaks,Must,
v6.15,d90b023718a1,smb3 client: warn when parse contexts returns error on compounded operation,Mid,
v6.16,006ff7498fe8,saner calling conventions for ->d_automount(),No,
v6.15,c59f7c9661b9,smb: client: ensure aligned IO sizes,High,
v6.15,f122121796f9,cifs: Fix changing times and read-only attr over SMB1 smb_set_file_info() function,Low,
v6.15,1041c117a2c3,cifs: Fix and improve cifs_query_path_info() and cifs_query_file_info(),Mid,
v6.15,74c72419ec8d,smb: client: fix zero length for mkdir POSIX create context,High,
v6.15,95d2b9f693ff,"Revert ""smb: client: fix TCP timers deadlock after rmmod""",High,
v6.15,c707193a1712,"Revert ""smb: client: Fix netns refcount imbalance causing leaks and use-after-free""",High,
v6.15,262b73ef442e,smb3 client: fix open hardlink on deferred close file error,High,
v6.15,56c283b9e001,smb3: Add defines for two new FileSystemAttributes,Mid,
v6.15,ef86ab131d91,cifs: Fix querying of WSL CHR and BLK reparse points over SMB1,Low,
v6.15,56c0bea52cef,cifs: Split parse_reparse_point callback to functions: get buffer and parse buffer,Mid,
v6.15,12193b9801e7,cifs: Improve handling of name surrogate reparse points in reparse.c,Mid,
v6.15,9ce7351291a6,cifs: Remove explicit handling of IO_REPARSE_TAG_MOUNT_POINT in inode.c,Mid,
v6.15,16cb6b0509b6,cifs: Fix encoding of SMB1 Session Setup Kerberos Request in non-UNICODE mode,Low,
v6.15,9502dd5c7029,smb: client: fix UAF in decryption with multichannel,Must,
v6.15,c7efac7f1c71,cifs: Fix support for WSL-style symlinks,Mid,
v6.16,06c567403ae5,Use try_lookup_noperm() instead of d_hash_and_lookup() outside of VFS,High,
v6.16,fa6fe07d1536,VFS: rename lookup_one_len family to lookup_noperm and remove permission check,High,
v6.15,b365b9d404b7,smb311 client: fix missing tcon check when mounting with linux/posix extensions,High,
v6.15,6f8a394aa952,cifs: Ensure that all non-client-specific reparse points are processed by the server,Mid,
v6.15,827a1bd9af9d,cifs: update internal version number,Mid,
v6.15,28753e430454,cifs: Implement is_network_name_deleted for SMB1,Low,
v6.15,f83e10a23305,cifs: Remove cifs_truncate_page() as it should be superfluous,Low,
v6.15,e97aec788954,cifs: Do not add FILE_READ_ATTRIBUTES when using GENERIC_READ/EXECUTE/ALL,Mid,
v6.15,b07687edee99,cifs: Improve SMB2+ stat() to work also without FILE_READ_ATTRIBUTES,Mid,
v6.15,e255612b5ed9,cifs: Add fallback for SMB2 CREATE without FILE_READ_ATTRIBUTES,Mid,
v6.15,4236ac9fe5b8,cifs: Fix querying and creating MF symlinks over SMB1,Low,
v6.15,6aa9f1c9cd09,cifs: Fix access_flags_to_smbopen_mode,High,
v6.15,e94e882a6d69,cifs: Fix negotiate retry functionality,High,
v6.15,665e18794804,cifs: Improve handling of NetBIOS packets,Low,
v6.15,7d14dd683b1b,cifs: Allow to disable or force initialization of NetBIOS session,Low,
v6.15,b1a37df6ba2f,cifs: Add a new xattr system.smb3_ntsd_owner for getting or setting owner,High,
v6.15,bf782ada459e,cifs: Add a new xattr system.smb3_ntsd_sacl for getting or setting SACLs,High,
v6.15,764da2fff399,smb: client: Update IO sizes after reconnection,High,
v6.15,287906b20035,smb: client: Store original IO parameters and prevent zero IO sizes,High,
v6.15,a091d9711bde,smb:client: smb: client: Add reverse mapping from tcon to superblocks,Mid,
v6.15,be5d361e3083,cifs: remove unreachable code in cifs_get_tcp_session(),Mid,
v6.15,2510859475d7,cifs: fix integer overflow in match_server(),High,
v6.15,e14b64247438,cifs: Add new mount option -o nounicode to disable SMB1 UNICODE mode,Low,
v6.15,be786e509c1a,cifs: Set default Netbios RFC1001 server name to hostname in UNC,High,
v6.15,4e7f1644f2ac,smb: client: Fix netns refcount imbalance causing leaks and use-after-free,Must,
v6.15,eeb827f2922e,cifs: add validation check for the fields in smb_aces,High,
v6.15,1821e90be08e,CIFS: Propagate min offload along with other parameters from primary to secondary channels.,Must,
v6.15,b26df4f57b6c,cifs: Improve establishing SMB connection with NetBIOS session,Low,
v6.15,781802aa5a59,cifs: Fix establishing NetBIOS session for SMB2+ connection,Mid,
v6.15,ad9364a6835c,cifs: Fix getting DACL-only xattr system.cifs_acl and system.smb3_acl,Mid,
v6.15,6c06be908ca1,cifs: Check if server supports reparse points before using them,Mid,
v6.15,b4885bd5935b,cifs: avoid NULL pointer dereference in dbg call,High,
v6.15,f089ee00f205,smb: client: Remove redundant check in smb2_is_path_accessible(),Mid,
v6.15,9fb2e20e4f6a,smb: client: Remove redundant check in cifs_oplock_break(),Mid,
v6.15,faf1b64888ff,smb: mark the new channel addition log as informational log with cifs_info,Mid,
v6.15,f2a54094b24f,smb: minor cleanup to remove unused function declaration,Low,
v6.15,93fd0d46cbf7,vfs: Remove invalidate_inodes(),No,
